id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50904,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,,Historisch Centrum,51.218575,4.398631,Hotel room,174,2,3,2022-05-15,0.03,4,250,0,
224682,Rental unit in Antwerpen · ★4.78 · 1 bedroom · 2 beds · 1 bath,1263933,Kristien,,Historisch Centrum,51.21906,4.39955,Entire home/apt,113,2,500,2023-06-16,3.62,2,326,97,
345959,Rental unit in Antwerp · ★4.80 · 2 bedrooms · 2 beds · 1 bath,1754396,Marleen,,Markgrave,51.2015,4.40004,Entire home/apt,66,3,90,2023-06-15,0.66,1,301,14,
363155,Rental unit in Antwerp · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,1835458,Roos,,Amandus - Atheneum,51.22109,4.41812,Entire home/apt,79,6,27,2022-11-21,0.20,1,308,2,
366252,Rental unit in Antwerp · ★4.62 · 1 bedroom · 1 bed · 1.5 shared baths,1820186,Godelieve,,Borgerhout Intra Muros Noord,51.21602,4.43472,Private room,40,1,146,2023-06-11,1.07,4,240,33,
522693,Rental unit in Antwerp · 1 bedroom · 2 beds · 1 bath,2562294,Ahome,,Historisch Centrum,51.21943,4.39815,Entire home/apt,282,2,2,2017-10-27,0.02,1,0,0,
603545,Loft in Antwerp · ★4.79 · 1 bedroom · 1 bed · 1 bath,2987880,Cédric,,Harmonie,51.20819,4.40597,Entire home/apt,89,4,28,2023-05-21,0.22,1,332,3,
636664,Rental unit in Antwerp · ★4.52 · 2 bedrooms · 3 beds · 1 bath,462975,Els,,Borgerhout Intra Muros Noord,51.21749,4.43053,Entire home/apt,117,2,116,2023-06-20,0.88,1,350,18,
772842,Loft in Antwerp · ★4.43 · 1 bedroom · 1 bed · 1 bath,4050173,Daisy,,Linkeroever,51.21843,4.38422,Entire home/apt,155,2,75,2023-03-12,0.59,1,180,3,
778043,Rental unit in Antwerp · ★4.66 · 1 bedroom · 1 bed · 1 bath,1735092,Marc & Elizabeth,,Stadspark,51.20446,4.41337,Entire home/apt,81,2,84,2023-05-28,0.66,1,250,7,
791792,Loft in Antwerp · ★4.83 · 1 bedroom · 2 beds · 1 bath,3424990,Tim,,Zuid,51.20502,4.38874,Entire home/apt,90,4,6,2022-03-23,0.05,1,276,0,
813969,Rental unit in Antwerp · ★4.67 · 2 bedrooms · 3 beds · 1.5 baths,4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,226,1,121,2023-06-09,1.24,3,37,26,
891884,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,,Historisch Centrum,51.218575,4.398631,Hotel room,175,2,3,2022-05-10,0.07,4,339,0,
891907,Rental unit in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,234077,Karin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,211,3,22,2023-05-30,0.20,4,347,10,
959200,Rental unit in Antwerp · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,4715596,Caroline & Klaas,,Borgerhout Intra Muros Zuid,51.21418,4.43707,Entire home/apt,95,3,71,2023-06-15,0.61,3,29,6,
991824,Rental unit in Antwerp · ★4.60 · 3 bedrooms · 5 beds · 1 bath,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,318,2023-06-14,2.56,2,333,45,
1050693,Rental unit in Antwerp · ★4.64 · 3 bedrooms · 5 beds · 1 bath,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,25,2023-02-13,0.21,2,331,1,
1105318,Rental unit in Antwerp · ★4.47 · 1 bedroom · 2 beds · 1 bath,6068286,Frédéric,,Zuid,51.21147,4.40005,Entire home/apt,85,7,44,2023-05-18,0.36,4,322,8,
1172376,Rental unit in Antwerp · ★4.48 · 1 bedroom · 2 beds · 1 bath,6068286,Frédéric,,Zuid,51.21125,4.40108,Entire home/apt,80,3,22,2023-04-19,0.18,4,332,5,
1172507,Rental unit in Antwerp · ★4.34 · 1 bedroom · 1 bed · 1 bath,6068286,Frédéric,,Zuid,51.21174,4.39944,Entire home/apt,85,2,190,2023-04-15,1.59,4,298,5,
1184623,Loft in Antwerp · ★4.69 · 2 bedrooms · 2 beds · 3 baths,4865806,Tommie,,Eilandje,51.23006,4.40869,Entire home/apt,228,2,36,2023-05-30,0.30,2,178,7,
